"Time100m","LongJump","ShotPut","HighJump","Time400m","Hurdles","Discus","PoleVault","JavelinThrow","Time1500m"
11.33,6.73,12.27,1.84,54.8,15.43,26.67,3.74,48.93,330.2
13.81,4.93,9.81,1.59,62.8,18.75,30.72,2.54,35.99,333.2
13,4.8,8.69,1.39,63.2,18.42,30.92,2.74,30.96,355
13.43,5.35,9.35,1.49,63.4,18.24,29.01,2.74,37.35,344.9
13.87,5.02,9.31,1.49,62.9,19.03,29.7,2.74,40.66,328.9
13.56,5.2,10.25,1.59,65.9,16.68,27.68,2.14,29.47,388.3
13.31,5.1,8.55,1.44,64.3,19.66,23.9,2.54,31.25,348.3
14.1,4.8,9.18,1.39,65.3,19.25,26.84,2.74,36.12,364.8
13.49,5.33,7.76,1.49,63.5,18.74,20.67,2.14,30.35,356.9
12.49,5.83,10.64,1.79,62.9,17.28,34.41,2.74,49.3,330.5
14.6,4.65,9.75,1.49,91.8,20.79,34.84,2.34,34.72,535
13.11,5.5,12.16,1.49,63.5,18.67,31.02,2.34,44.23,378.7
12.91,5.19,7.88,1.49,61.7,18.35,24.38,2.14,34.28,371.8
14.19,4.8,8.27,1.49,70.4,17.31,24.41,2.34,29.04,401.2
14.43,4.05,7.33,1.29,69.4,21.48,17.95,1.94,21.25,397.6
12.61,5.6,10.64,1.74,59.1,18.31,30.17,3.34,35.06,348.7
13.92,5.1,8.48,1.44,67.8,16.98,21.49,2.14,29.68,376.7
14.12,4.61,7.88,1.49,68.8,17.14,20.08,3.14,17.58,357.9
14.17,4.6,7.85,1.39,63.3,17.41,20.3,2.14,20.05,318.2
12.42,6.2,7.62,1.59,57.4,16.65,20,2.34,34.32,296.4
12.43,5.49,12.3,1.64,63.3,17.65,30.5,2.54,49.52,372.7
12.57,5.89,9.22,1.49,57.5,18.67,27.92,3.54,30.9,328.9
11.87,5.65,8.55,1.59,55.6,18.45,23.04,3.34,24.46,326.8
15.31,4.1,7.54,1.24,75.8,20.16,18.63,1.94,20,406.2
14.17,4.22,8.83,1.39,73.4,21.03,22.47,2.14,28.93,416.6
13.8,4.34,9.13,1.49,67.4,17.94,20.48,1.94,34,384.3
13.9,4.41,8.39,1.39,65.7,19.91,19.54,2.14,24.07,340.1
17.49,3.24,10.05,1.19,98.7,21.45,37.05,2.54,24.92,513.7
15.22,4.21,10.84,1.39,70.8,20.37,25.68,2.14,35,352.9
14.51,5.31,8.71,1.69,70.2,19.94,23.57,2.14,33.31,384.5
13.26,4.8,9.26,1.54,64.8,18.48,20.7,2.54,33.27,332.2
12.85,5.12,7.46,1.44,62.2,20.57,19.7,2.34,19.11,349.6
16.68,3.35,7.85,1.04,84.4,22.16,16.45,1.74,18.35,484.5
14.17,4.2,11.29,1.39,79.1,20.99,31.84,2.14,41.86,434
13.45,4.95,9.06,1.54,61.8,19.72,24.66,2.14,37.04,369.3
14.4,4.85,8.7,1.29,70.5,20.73,19.5,1.94,31.32,351.5
12.98,5.6,9.65,1.64,62.3,19.12,26.62,2.94,33.84,329.3
14.59,4.62,8.32,1.44,67.2,20.78,20.2,2.34,34.24,334.5
12.3,5.3,11.4,1.49,60.7,20.89,32.1,1.94,45.45,339.6
12.76,4.93,9.58,1.59,64.6,18.54,27,3.34,40.1,354.8
12.45,5.98,7.58,1.64,58.4,20.43,24.12,2.14,31.79,313.5
14.54,3.94,8.49,1.29,70.5,22.01,22.64,1.54,26.13,391.5
14.9,4.22,7.73,1.44,69,22.51,22.57,1.94,29.96,332
14.12,4.4,7.75,1.39,68.9,17.95,22.1,2.34,24.75,368.1
14.04,4.26,8.25,1.49,64.2,20.77,18.27,2.54,27.62,383.4
14.18,5.05,8.53,1.44,69.5,20.75,20.42,2.14,25.58,362.9
13.25,5.13,7.65,1.49,58.8,19.29,20.62,2.54,27.56,319.4
13.3,4.54,7.62,1.44,66.4,19.94,19.66,1.74,33.94,411.6
14.05,4.65,7.55,1.44,73.2,17.2,20.47,1.74,21.65,392.8
13.6,4.25,7.14,1.39,64,18.78,20.69,1.74,22.89,375
15.02,4.37,6.91,1.39,73,23.18,16.1,2.14,20.13,387.3
14.1,4.4,7.1,1.19,71.2,21.1,18.41,1.74,24.45,438.9
14.14,4.7,6.01,1.49,65.2,19.88,16.41,1.74,22.46,332.5
15,3.85,6.9,1.24,79,22.29,16.36,1.94,17.25,442.9
17.78,3.25,7.8,1.14,87.2,21.13,20.12,1.74,21.2,466.4
13.94,4.56,8.04,1.44,70.3,19.74,17.36,1.94,22.7,385.4
14.21,4.7,7.9,1.54,69.2,20.16,19.62,2.14,16.7,376.2
13.99,4.26,8.34,1.44,68.4,20.12,17.98,1.74,31.27,379.9
13.84,5,8.09,1.29,73.3,20.48,21.33,1.94,32.76,391.3
14.25,4.26,8.43,1.14,72.2,21.72,23.04,2.14,27.43,384.6
13.95,4.6,8.3,1.44,72.9,19.72,21.03,2.34,21.69,409.8
13.77,5.05,8.08,1.44,71.1,19.75,16.72,1.94,22.84,405.6
13.21,5.01,9.09,1.54,63.4,18.19,22.82,2.14,33.74,337.8
13.29,5.34,8.4,1.54,64,18.62,23.33,1.94,26.95,321.4
15.47,4.14,7.64,1.34,78.8,20.86,15.55,1.54,20.19,412.4
14.21,4.24,7.16,1.34,74.6,18.65,21.55,1.74,22.66,378.6
14.34,4.15,7.24,1.29,68.5,21.15,16.71,1.94,19.26,380.3
14.06,4.18,7.29,1.34,65.9,20.79,15.1,1.54,19.28,333.4
14.66,4.35,8.25,1.34,74.7,19.79,19.1,1.74,17.62,418
13.49,5.19,7.85,1.59,63.2,20.55,22.2,2.34,26.41,320.7
14.42,4.2,7.25,1.29,72.6,19.28,21.16,2.34,18.76,408.1
16.2,4.03,7.44,1.09,82,28.26,18.13,1.34,16.6,454.5
14.38,4.1,7.4,1.34,66,21.44,20.2,2.54,27.05,330.7
18.48,2.67,7.49,0.99,103.2,26.38,15.43,1.54,17.01,566.7
12.35,4.93,7.13,1.64,59.3,20.15,16.96,2.34,29.62,410.9
13.09,4.87,8.48,1.54,64.7,19.94,27.02,2.64,27.12,386.4
14.71,4.09,8.65,1.39,77.2,21.96,20.46,1.94,18.9,410.6
12.63,5.35,8.15,1.39,62.9,21.71,18.9,2.14,30.15,330.6
13.8,4.6,9.39,1.54,67.9,21.44,20.94,2.34,31.6,355.8
14.15,3.94,7.57,1.34,70.9,21.11,19.16,2.14,22.4,406.1
13.59,4.6,7.84,1.34,77.3,22.58,17.37,1.94,30.47,435.5
14.19,4.5,6.05,1.39,67.5,19.13,15.95,2.34,20.6,362.6
13.58,4.66,8.6,1.49,62.9,22.7,22.26,2.34,32.84,337.8
14.52,4.37,6.95,1.34,75.7,18.66,15.94,1.54,20.81,410.7
15.62,4.05,9.23,1.39,80.1,18.67,24.92,1.74,22.87,457.6
16.33,3.73,8.31,1.29,87.7,22.25,24.83,1.74,19.83,461.3
13.25,4.57,6.95,1.49,62.2,19.28,16.3,1.94,25.47,326.8
13.3,4.6,6.35,1.44,61.8,21.61,22.65,1.34,35.84,317.8
13.12,4.71,8.18,1.49,64.5,20.82,22.82,2.34,27.43,385.3
15.04,3.67,7.61,1.34,76.2,19.6,18.74,1.74,24.82,413.1
13.06,4.69,8.99,1.34,63.9,21.97,18.33,1.94,27.55,330.1
14.54,4.15,10.22,1.44,83.8,24.43,25.44,1.94,23.31,482.6
14.17,4.67,8.2,1.29,78.7,20.82,19.08,1.94,19.31,493.2
13.03,5.1,7.06,1.39,64.9,21.18,18.23,2.14,28.1,366.7
14.24,4.55,7.77,1.54,64.6,21.39,17.27,2.34,24.52,328.6
14.73,4.05,5.65,1.19,75.4,20.36,15.5,1.34,19.2,402.8
13.41,5.12,8.41,1.59,65.5,21.47,15.47,2.34,18.14,368.6
14.06,4.45,8.43,1.34,72.7,21.79,19.16,2.14,24.6,408.7
13.21,4.37,7.18,1.44,64.7,20.79,17.8,2.34,24.03,353.6
15.15,4.4,7.15,1.39,80.9,20.16,17.19,2.14,15,461
16.29,3.96,7.16,1.19,81.7,19.54,17.92,1.74,22.18,432.1
14.37,4.65,6.5,1.39,68.6,20.97,15.8,2.54,18.75,330.2
15.64,3.34,6.87,1.24,74.5,23.73,17.15,1.74,19.37,370.4
15.72,3.7,6.68,1.14,83,21.59,17.02,1.54,14.04,448.2
14.31,4.6,7.44,1.29,77.4,20.58,16.47,1.34,13.61,447.2
14.96,3.85,7.98,1.29,81.1,19.19,17.42,1.34,23.77,455.7
15.04,3.8,6.71,1.19,72,25.57,14.81,1.34,14.72,354.8
14.15,4.82,8.19,1.39,70.7,20.43,20.25,2.14,42.54,436.8
14.18,4.93,7.83,1.39,79.9,21.53,18.71,1.94,27.2,494.3
14.78,3.86,6.52,1.14,78.4,19.77,17.3,1.74,14,388.5
13.6,4.86,7.55,1.49,66.8,23.34,19.62,2.14,26.8,376.5
15.16,3.12,6.23,1.29,76,19.71,13.5,2.14,13.7,404.4
15.32,4.3,7.82,1.29,81.1,22.79,17.92,1.94,20.29,443.2
14.54,4.04,7.23,1.34,69,22.85,16.03,2.14,20.78,403.2
14.64,4.09,6.96,1.29,76.7,26.28,15.5,2.14,26.71,442.9
15.26,4.03,6.03,1.29,72.3,25.15,16.57,2.14,19.74,407.3
14.53,4.35,6.77,1.29,68.3,22.82,16.77,1.94,17.61,397.1
13.53,4.06,6.41,1.29,66.5,22.54,19.8,2.14,17.03,314
13.37,4.49,8.25,1.39,70.1,22.11,16.65,2.54,27.18,409.3
14.64,4.3,6.49,1.34,72.6,22.77,17.04,1.74,23.69,384.7
13.9,4.85,8.02,1.44,66.7,22.25,18.09,1.74,17.63,363.4
13.74,4.93,8.32,1.44,67.1,25.43,18.53,1.94,27.53,409.7
15.88,3.25,8.84,1.19,90.4,27.88,19.44,1.34,20.11,470.3
14.73,4,6.92,1.29,77.6,23.45,15.77,1.54,19.39,449.6
15.65,3.91,7.14,1.14,82.4,20.36,20.43,1.54,20.31,464.2
14.29,4.1,6.8,1.04,71.5,26.35,14.16,1.14,17.45,388.3
14.39,4.1,6.89,1.34,71.5,21.52,16.85,1.54,23.03,361.6
14.7,3.59,9.36,1.39,74,22.88,23.25,2.34,24.3,366.9
13.77,4.18,7.18,1.29,66.9,25.52,16.34,1.54,18.28,349.3
14.42,3.9,7.91,1.24,69.5,25.77,22.41,2.14,30.88,353.2
14.35,4.02,7.4,1.34,65.1,23.04,22.62,1.14,21.4,359.9
16.42,4.42,6.33,1.39,74.5,24.01,17.83,1.94,21.38,396.6
17.49,3.69,6.8,1.14,88.5,24.5,11.59,1.54,13.95,438
13.69,4.26,7.95,1.39,68.2,24.64,17.1,1.74,19.13,380
14.19,4.4,5.64,1.49,68.7,20.83,13.41,1.34,17.77,369
16.42,3.82,7.24,1.19,88.1,20.85,19.69,1.34,15.07,434.5
14.26,4.37,8.5,1.34,76.1,23.64,23.23,1.94,29.7,461.4
14.58,4.08,6.77,1.24,70.5,23.1,16.42,1.74,27.01,400.6
15.89,3.33,6.2,1.24,81.8,22.73,16.8,1.54,13.73,441.8
14.58,4.12,7.41,1.34,75.9,25.52,18.31,1.74,19.22,399
14.89,3.77,6.03,1.19,69.5,21.79,12.62,1.94,24.72,358.4
14.99,4.39,6.62,1.39,73.1,26.2,18.12,1.54,23.84,430.3
16.07,4.02,6.9,1.14,89.4,26.04,17.39,1.54,21.11,467.4
23.15,2.39,7.68,0.99,142.2,33.01,14.55,1.54,16.32,704.7
15.95,3.7,4.92,1.19,69.8,22.61,15.14,1.54,20,318.9
18.08,3.43,6.12,1.04,91.6,24.75,15.16,1.34,10.38,471.8
14.67,4.15,7.03,1.19,72.2,24.36,12.88,1.74,16.2,405.3
17.03,3.22,5.93,1.14,82.9,28.12,14.83,1.14,15.6,425.9
17.07,3.25,6.1,1.09,87.2,25.37,17.13,1.34,16.68,450
14.53,3.7,6.1,1.29,84.2,23.39,14.88,1.94,13.62,431.1
16.07,3.4,6.64,1.29,95.7,24.7,19.1,1.34,22.22,448.1
15.35,3.6,6.68,1.14,80.3,30.91,17.86,1.54,21.48,450.9
